Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,3540_EB2225,3541_EB2225,3542_EB2225,3543_EB2225,3846_CP04536,3847_CP04536,3848_CP04536,3849_CP04536,3850_CP04536,3851_CP04536,3866_CP04536,3868_CP04536,Taxonomy Id,Taxonomy Lineage
Abiotrophia defectiva ATCC 49176,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,Abiotrophia defectiva ATCC 49176,97.05,0,0,0,0,0,0,3028.05,2423.82,0,226.32,127.11,592010,k__Bacteria(2);p__Firmicutes(1239);c__Bacilli(91061);o__Lactobacillales(186826);f__Aerococcaceae(186827);g__Abiotrophia(46123);s__Abiotrophia defectiva(46125);t__Abiotrophia defectiva ATCC 49176(592010);
Abiotrophia sp. HMSC24B09,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia_u_s,Abiotrophia sp. HMSC24B09,0,0,0,0,193.4,0,0,4776.74,3843.68,0,375.49,166.9,1581061,k__Bacteria(2);p__Firmicutes(1239);c__Bacilli(91061);o__Lactobacillales(186826);f__Aerococcaceae(186827);g__Abiotrophia(46123);s__Abiotrophia_u_s(46123);t__Abiotrophia sp. HMSC24B09(1581061);
Actinobaculum sp. oral taxon 183 str. F0552,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobaculum_u_s,Actinobaculum sp. oral taxon 183 str. F0552,0,0,0,0,1828.44,448.94,232.67,6139.46,2832.28,110.87,847.38,2972.05,1227261,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinobaculum(76833);s__Actinobaculum_u_s(76833);t__Actinobaculum sp. oral taxon 183 str. F0552(1227261);
Actinomyces bouchesdurhonensis,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces bouchesdurhonensis,Actinomyces bouchesdurhonensis,0,0,0,0,403.36,204.83,0,3649.85,2957.85,0,792.94,260.62,1852361,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces bouchesdurhonensis(1852361);t__Actinomyces bouchesdurhonensis(1852361);
Actinomyces dentalis DSM 19115,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces dentalis,Actinomyces dentalis DSM 19115,0,0,0,0,213.84,0,0,4900.08,5784.4,0,661.28,199.96,1120941,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces dentalis(272548);t__Actinomyces dentalis DSM 19115(1120941);
Schaalia georgiae,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia georgiae,Schaalia georgiae,0,0,0,0,126.42,0,0,0,0,0,0,130.62,52768,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Schaalia(2529408);s__Schaalia georgiae(52768);t__Schaalia georgiae(52768);
Schaalia georgiae DSM 6843,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia georgiae,Schaalia georgiae DSM 6843,0,0,0,0,0,0,0,991.6,1069.18,0,0,0,1120942,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Schaalia(2529408);s__Schaalia georgiae(52768);t__Schaalia georgiae DSM 6843(1120942);
Actinomyces gerencseriae DSM 6844,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces gerencseriae,Actinomyces gerencseriae DSM 6844,0,0,0,0,233.67,0,0,2091.11,1478.94,0,255.55,308.04,1120943,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces gerencseriae(52769);t__Actinomyces gerencseriae DSM 6844(1120943);
Actinomyces graevenitzii,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces graevenitzii,Actinomyces graevenitzii,111.84,0,0,0,0,0,0,0,0,0,0,0,55565,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces graevenitzii(55565);t__Actinomyces graevenitzii(55565);
Actinomyces graevenitzii F0530,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces graevenitzii,Actinomyces graevenitzii F0530,0,0,0,0,1016.96,339.6,325.58,3506.26,2717.24,75.91,2880.48,1006.12,1321817,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces graevenitzii(55565);t__Actinomyces graevenitzii F0530(1321817);
Actinomyces israelii DSM 43320,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces israelii,Actinomyces israelii DSM 43320,0,0,0,0,0,0,0,196.93,196.37,0,0,0,1120944,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces israelii(1659);t__Actinomyces israelii DSM 43320(1120944);
Actinomyces johnsonii,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces johnsonii,Actinomyces johnsonii,0,0,0,0,0,0,0,0,0,0,0,131,544581,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces johnsonii(544581);t__Actinomyces johnsonii(544581);
Actinomyces johnsonii F0510,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces johnsonii,Actinomyces johnsonii F0510,0,0,0,0,195.36,0,0,4623.03,4613.58,148.56,656.61,0,1227262,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces johnsonii(544581);t__Actinomyces johnsonii F0510(1227262);
